course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating,year_published
577256,Accounting Department's Tips & Tricks - Beginner to Advanced,Pago,95,1222,14,61,All Levels,6.0,2015-10-07,Business Finance,English,4.1,2015
192576,Certificate Program In Management Accounting,Pago,50,1532,7,24,All Levels,6.0,2014-04-24,Business Finance,English,4.0,2014
662450,How I Trade Forex Successfully,Gratis,0,5768,109,12,All Levels,1.5,2015-11-13,Business Finance,English,4.4,2015
312834,Professional Trading With Institutional Supply & Demand,Pago,200,343,84,37,All Levels,5.5,2014-11-24,Business Finance,English,4.5,2014
44319,Master Calendar Spreads with this live trade on Gold (GLD),Pago,60,540,44,6,Expert Level,1.0,2013-03-02,Business Finance,English,4.5,2013
174800,Accounting 101: Guide to Business Accounting,Pago,50,2031,15,29,Beginner Level,14.5,2014-04-21,Business Finance,English,4.23,2014
1179546,An Introduction to Financial Markets on Wall Street,Pago,30,7,1,29,All Levels,2.0,2017-04-28,Business Finance,English,3.7,2017
1239206,Win 90% of Trades; Quantitative Investments Models in Excel,Pago,200,4,1,16,Beginner Level,1.5,2017-06-28,Business Finance,English,3.5,2017
1149564,The Forex Pivot Points Trading Strategy,Pago,20,21,2,12,All Levels,2.0,2017-03-22,Business Finance,English,4.23,2017
79364,Your Business by the Numbers,Pago,25,29,2,42,All Levels,3.0,2013-09-26,Business Finance,English,4.23,2013
917172,Forex - Trade Gartley with Precision - Complete Strategy,Pago,20,50,1,23,All Levels,1.5,2016-07-29,Business Finance,English,4.6,2016
1276364,Bitcoin & Ethereum Course (2 Course Bundle),Pago,200,1,0,52,All Levels,2.5,2017-07-05,Business Finance,English,4.8,2017
1237912,Create Trading Robot Without Coding Skills!,Pago,145,5,0,13,All Levels,1.0,2017-06-16,Business Finance,English,4.2,2017
531710,Accounting and the Triple Bottom Line,Pago,30,6,2,19,Intermediate Level,0.55,2015-07-10,Business Finance,English,4.23,2015
1021760,MQL5 - Beginner To Expert,Pago,45,16,1,16,Beginner Level,1.5,2017-04-06,Business Finance,English,4.1,2017
193916,How to be A High Performance Insurance Broker Part 2,Pago,40,70,3,15,All Levels,2.0,2014-04-06,Business Finance,English,3.7,2014
74016,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",Pago,20,110,1,5,All Levels,1.0,2013-08-12,Business Finance,English,4.23,2013
1073430,Xero Bookkeeping Course & Certification by Accounting Firm,Pago,20,7,3,15,Beginner Level,2.0,2017-02-13,Business Finance,English,4.4,2017
834606,Trading News Using Binary Options,Pago,145,1186,16,22,All Levels,1.5,2016-05-11,Business Finance,English,3.9,2016
629060,Trading Trends in ANY Market,Pago,30,632,49,22,All Levels,2.0,2015-10-04,Business Finance,English,4.0,2015
698278,Financial Statements Analysis: Learn to Invest Like a Pro!,Pago,50,1237,54,35,Beginner Level,2.5,2016-02-04,Business Finance,English,4.4,2016
975414,Contango VXX - ETF Options Trading - Double Your Investment,Pago,200,513,20,20,All Levels,1.0,2016-10-06,Business Finance,English,4.4,2016
112296,Mergers and Acquisitions M&A Essentials You Need to Know,Pago,95,4103,19,15,Beginner Level,1.0,2013-11-13,Business Finance,English,4.23,2013
536166,TRADING MARKET MAP,Pago,45,1489,32,27,All Levels,3.5,2015-07-01,Business Finance,English,2.7,2015
718338,How To Confidently Join The Bitcoin Revolution,Pago,45,547,98,53,Beginner Level,7.0,2016-01-14,Business Finance,English,4.23,2016
996612,High Probability Trading Across Any Market: Stocks & Forex,Pago,95,353,27,105,All Levels,18.5,2016-12-01,Business Finance,English,4.2,2016
941120,Option Trading for Rookies: Make & Manage Profitable Trades,Pago,95,507,19,59,All Levels,2.0,2016-09-02,Business Finance,English,4.6,2016
498488,Your First Successful Forex Trades - With Case Studies,Pago,200,1079,34,16,All Levels,2.5,2015-05-26,Business Finance,English,3.6,2015
364566,MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,Pago,180,3667,4,460,All Levels,43.5,2014-12-06,Business Finance,English,4.23,2014
600316,"High-Frequency Trading #1: Basics, History & Strategies",Pago,50,2222,24,11,All Levels,0.6,2015-09-28,Business Finance,English,4.23,2015
1136912,Financial Accounting - The Ultimate Beginner Course,Pago,100,9,2,101,Beginner Level,10.0,2017-04-06,Business Finance,English,4.4,2017
239416,Level 1 2014 CFA® Program – Derivatives,Pago,40,225,2,17,All Levels,2.5,2014-09-03,Business Finance,Danish,4.23,2014
722274,The Complete Investing Guide: How to Beat Wall Street,Pago,50,13,3,25,All Levels,5.5,2016-06-14,Business Finance,English,4.23,2016
201942,"Bitcoins - Past, Present, Future",Pago,20,373,3,14,Beginner Level,1.5,2014-04-23,Business Finance,French,4.23,2014
355798,Learn Accounting by Specific Examples - Part 1,Pago,50,306,0,5,All Levels,0.63,2014-11-28,Business Finance,English,4.23,2014
702800,Forex: Presentation and  Analysis (Fundamental & Technical),Pago,50,14,3,22,Beginner Level,1.5,2016-01-16,Business Finance,English,4.23,2016
425126,Year-end QuickBooks Procedures,Pago,20,51,2,10,Beginner Level,2.0,2015-02-19,Business Finance,English,4.1,2015
1013838,Price Action Gap Trading Strategies,Pago,20,13,2,5,Intermediate Level,1.0,2016-12-31,Business Finance,English,3.9,2016
867682,How to start a successful career in finance?,Gratis,0,1318,7,27,All Levels,2.0,2016-08-24,Business Finance,English,4.23,2016
239268,Level 1 2014 CFA® Program – Equity Investments,Pago,40,347,0,24,All Levels,4.5,2015-01-30,Business Finance,English,4.23,2015
361286,Wealth Management,Pago,30,274,1,21,All Levels,3.5,2014-12-17,Business Finance,English,4.23,2014
1036456,Basics of Private Equity,Pago,60,9,2,6,Intermediate Level,0.67,2017-05-09,Business Finance,English,3.5,2017
617976,Curso Completo del Mercado FOREX,Pago,200,359,86,50,All Levels,5.5,2015-11-18,Business Finance,Spanish,3.8,2015
196620,Como Investir em Ações para Iniciantes,Gratis,0,6024,890,18,All Levels,1.0,2014-04-11,Business Finance,Portuguese,4.23,2014
667332,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,Pago,130,315,49,41,All Levels,5.0,2016-01-22,Business Finance,Catalan,4.23,2016
639126,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,Pago,35,280,40,54,All Levels,4.0,2015-11-10,Business Finance,Japanese,4.4,2015
